524967fa8fdbc133f3a7afe47e4b1e3d,*Welcome to the GAMI.FI.RE Game - A Serious Game for Upgrading Financial Competences,*Dobrodošli v igro GAMI.FI.RE - Resna igra za nadgradnjo finančnih kompetenc,*Καλώς ήρθατε στο παιχνίδι GAMI.FI.RE - Ένα σοβαρό παιχνίδι για την αναβάθμιση των χρηματοοικονομικών ικανοτήτων,*,*Welkom bij het GAMI.FI.RE-spel – Een serious game voor het verbeteren van financiële vaardigheden
baf6bf34a0f6cc0b24c432ebf139819d,*Gefinancierd door de Europese Unie. De hier geuite ideeën en meningen komen echter uitsluitend voor rekening van de auteur(s) en geven niet noodzakelijkerwijs die van de Europese Unie of het Europese Uitvoerende Agentschap onderwijs en cultuur (EACEA) weer. Noch de Europese Unie, noch het EACEA kan ervoor aansprakelijk worden gesteld. Project Nummer: 2023-1- SL01-KA220-VET-D2A318E8,*Podpora Evropske komisije za izdelavo te publikacije ne pomeni podpore vsebine, ki odraža mnenja samo avtorjev, Komisija pa ne more prevzeti odgovornosti za kakršnokoli uporabo informacij, ki so v njej vsebovane.<br><br>Projektna številka: 2023-1-SL01-KA220-VET-D2A318E8,*Χρηματοδοτείται από την Ευρωπαϊκή Ένωση. Ωστόσο, οι ιδέες και οι απόψεις που εκφράζονται εδώ είναι αποκλειστικά του/των συγγραφέα/ων και δεν αντανακλούν απαραίτητα εκείνες της Ευρωπαϊκής Ένωσης ή του Ευρωπαϊκού Εκτελεστικού Οργανισμού Εκπαίδευσης και Πολιτισμού (EACEA). Ούτε η Ευρωπαϊκή Ένωση ούτε ο EACEA μπορούν να θεωρηθούν υπεύθυνοι γι' αυτές.<br><br>Αριθμός έργου: 2023-1- SL01-KA220-VET-D2A318E8,*,*De steun van de Europese Commissie voor de totstandkoming van deze publicatie houdt geen goedkeuring in van de inhoud, die uitsluitend de standpunten van de auteurs weergeeft, en de Commissie kan niet verantwoordelijk worden gehouden voor enig gebruik dat van de informatie in deze publicatie wordt gemaakt.<br><br>Projectnummer: 2023-1-SL01-KA220-VET-D2A318E8
b6d4223e60986fa4c9af77ee5f7149c5,*Sign in,*Prijavite se,*Συνδεθείτε,*,*Log in
ce8ae9da5b7cd6c3df2929543a9af92d,*Email,*E-pošta,*Ηλεκτρονικό ταχυδρομείο,*,*E-mail
dc647eb65e6711e155375218212b3964,*Password,*Geslo,*Κωδικός πρόσβασης,*,*Wachtwoord
612a79ec8dc8223941ca5b40ef0f0ad7,*Auto sign in,*Samodejna prijava,*Αυτόματη είσοδος,*,*Automatisch inloggen
d9776f0775997b2e698c6975420b5c5d,*Sign up,*Registracija,*Εγγραφείτε,*,*Registreren
8458bad978f4fd6d6c7f8ec2ec0824b4,*Forgot password?,*Ste pozabili geslo?,*Ξεχάσατε τον κωδικό σας;,*,*Wachtwoord vergeten?
1e884e3078d9978e216a027ecd57fb34,*E-mail,*E-pošta,*Ηλεκτρονικό ταχυδρομείο,*,*E-mailadres
f6039d44b29456b20f8f373155ae4973,*Username,*Uporabniško ime,*Όνομα χρήστη,*,*Gebruikersnaam
